binary_index,state,event,time,orbital_period,eccentricity,lg_mtransfer_rate,step_names,step_times,S1_state,S1_mass,S1_log_R,S1_log_L,S1_lg_mdot,S1_he_core_mass,S1_he_core_radius,S1_co_core_mass,S1_co_core_radius,S1_center_h1,S1_center_he4,S1_surface_h1,S1_surface_he4,S1_surf_avg_omega_div_omega_crit,S1_spin,S1_envelope_binding_energy,S2_state,S2_mass,S2_log_R,S2_log_L,S2_lg_mdot,S2_he_core_mass,S2_he_core_radius,S2_co_core_mass,S2_co_core_radius,S2_center_h1,S2_center_he4,S2_surface_h1,S2_surface_he4,S2_surf_avg_omega_div_omega_crit,S2_spin,S2_envelope_binding_energy
286648,detached,CC2,2834482060.992467,13.422858392039828,0.0,-98.99999999999999,step_CO_HMS_RLO,0.06288552284240723,BH,3.8559877624259697,-4.78598965014177,,-98.69897000433602,,,,,,,,,,0.7834867668175984,,H-rich_Core_H_burning,0.4201671827604005,-1.762898179040131,-1.2507117588671903,-14.358077408756937,0.4201671827604005,0.016071168056063692,0.33963891514092587,0.006482761572056978,0.031952648780888104,5.976918089730611e-16,0.12274583318841564,0.8631569098690414,0.0017086114822693422,0.014081880034842655,-6.403158581579989e+46
300751,detached,,1245802039.7542233,3.275210665967184,0.40364189198619194,,step_SN,0.0038077831268310547,BH,3.902887272574892,-4.780739289376057,,,,,6.655731426306336,,,,,,,2.5315352445729933e-05,,H-rich_Core_H_burning,2.9171155776002426,0.2754504758641987,1.8982038235095622,,0.0,,0.0,0.0,0.6955816537084022,0.29002094026564923,0.7154999999985271,0.27027123463997005,0.11440226551625707,3.2651869708733576,-1.530527012207752e+49
323407,detached,,3900484404.784629,32.50014877410457,0.384766061128584,,step_SN,0.004000186920166016,BH,4.109752520958059,-4.7583096265405675,,,,,6.836845182444265,,,,,,,2.9184711590222033e-13,,H-rich_Core_H_burning,2.493445035600095,0.2364588441706995,1.635964996816825,,0.0,,0.0,0.0,0.6988199814539379,0.2867224952375611,0.7154999999944972,0.27027123463996977,0.03843701335222916,1.0870747746478457,-1.2556354614322765e+49
341945,detached,,5990171455.580204,31.187494529845498,0.6027381273041249,,step_SN,0.0047168731689453125,BH,4.575037834894733,-4.711730607104731,,,,,7.14165976551862,,,,,,,2.948593040699442e-10,,H-rich_Core_H_burning,2.5856771130849814,0.24465654913199825,1.6967463257482265,,0.0,,0.0,0.0,0.6990743251732483,0.28647441579031574,0.7154999999965559,0.2702712346399699,0.056830139283744786,1.6105849386476423,-1.3161259475262769e+49
386396,detached,,6239881615.668167,5.55418696870754,0.8462864397736604,,step_SN,0.0018193721771240234,BH,2.5777945664456414,-4.960876993138852,,,,,5.2393048276242045,,,,,,,2.068876186657889e-08,,H-rich_Core_H_burning,2.5297876126383767,0.24034021403072106,1.66057775392156,,0.0,,0.0,0.0,0.6979140936000438,0.2876389947861014,0.7154999999960359,0.2702712346399697,0.032598195738615554,0.9224459549944634,-1.2783590661376017e+49
391307,detached,,7419282591.581359,5.2741212371484965,0.31881859273578445,,step_SN,0.0046503543853759766,BH,3.843141165769816,-4.7874389598672815,,,,,6.612004591355953,,,,,,,4.8114054429175885e-08,,H-rich_Core_H_burning,1.8944366213519666,0.1775861807149853,1.1644888411690397,,0.0,,0.0,0.0,0.7038349049618062,0.28160220314138495,0.7154999998999877,0.27027123463997016,0.04231506049060064,1.1855835071113332,-8.715577646851702e+48
395352,detached,,6911943466.006225,13.532947179071794,0.36521321301907367,,step_SN,0.004377603530883789,BH,3.8427057939877725,-4.787488161878123,,,,,6.611479768323954,,,,,,,6.945085368324469e-12,,H-rich_Core_H_burning,2.002506638288179,0.18777230247235238,1.2614330401944276,,0.0,,0.0,0.0,0.7031626073971406,0.28229257594249074,0.7154999999575038,0.27027123463996994,0.03243450218857218,0.9092514793788652,-9.413729093514582e+48
469773,detached,,2419455071.004539,0.7589842547334302,0.6023625497722755,,step_SN,0.00571894645690918,BH,4.337123608424715,-4.734923497315868,,,,,6.799082312032408,,,,,,,5.3686688696528485e-06,,H-rich_Core_H_burning,2.6214847288888175,0.24828444688319917,1.719885146640953,,0.0,,0.0,0.0,0.6983918270492396,0.2871654677929993,0.7154999999967796,0.27027123463996994,0.0953401749357494,2.704296685061211,-1.3388217305711434e+49
480936,detached,,8924417696.500053,8.62858869657998,0.8929864927239516,,step_SN,0.004227161407470703,BH,3.6230798435729192,-4.813047392175236,,,,,6.390986690511347,,,,,,,4.990473180473188e-11,,H-rich_Core_H_burning,2.0876048193911387,0.1965325216836318,1.3336625078768782,,0.0,,0.0,0.0,0.7016857745881457,0.28378976252402704,0.7154999999646153,0.2702712346399704,0.03340914050043251,0.9374077385246707,-9.954831198271987e+48
535611,detached,,3536010944.058455,2.633313251718836,0.20618474317447863,,step_SN,0.002671957015991211,BH,3.1628971440262297,-4.872040227987273,,,,,5.891215097737185,,,,,,,1.6252623902102243e-07,,H-rich_Core_H_burning,2.9069341665341617,0.27490392753651227,1.8926211422074997,,0.0,,0.0,0.0,0.6951312691205168,0.29047427516002106,0.7154999999984698,0.27027123463997,0.07191238571286011,2.0517711656658744,-1.5231627500768358e+49
630970,detached,,3422426372.4291935,36.13230091685797,0.21960109791355278,,step_SN,0.002782583236694336,BH,3.136479780930985,-4.875682804836664,,,,,5.858865953785266,,,,,,,1.711430725445233e-13,,H-rich_Core_H_burning,1.85212690848386,0.17388422775952378,1.1248479283487194,,0.0,,0.0,0.0,0.7036971256304295,0.28173488651522777,0.7154999998752138,0.27027123463997,0.02508140916124639,0.7026237457702751,-8.439928706882629e+48
